id1,id,proc,order,time,score
491,637,1,1,1,1.5
491,637,1,1,2,4.25
493,639,1,1,1,4
493,639,1,1,2,4
494,641,1,2,1,2.75
494,641,1,2,2,5.5
495,642,1,2,1,3
495,642,1,2,2,3
497,645,1,1,1,1
497,645,1,1,2,2.25
503,652,1,1,1,2
503,652,1,1,2,3
504,654,1,1,1,1
504,654,1,1,2,2
505,655,1,2,1,3.25
505,655,1,2,2,4.75
507,657,1,2,1,2
507,657,1,2,2,3.75
509,659,1,1,1,2.25
509,659,1,1,2,5
511,661,1,2,1,3
511,661,1,2,2,4
512,662,1,2,1,2.75
512,662,1,2,2,2.75
513,663,1,2,1,2
513,663,1,2,2,7
514,665,1,2,1,3
514,665,1,2,2,2
516,667,1,1,1,3
516,667,1,1,2,4.75
518,670,1,1,1,3
518,670,1,1,2,3.25
520,672,1,2,1,2
520,672,1,2,2,6
521,673,1,1,1,1
521,673,1,1,2,3.5
524,677,1,1,1,5.5
524,677,1,1,2,5.75
525,678,1,2,1,4
525,678,1,2,2,3.25
528,681,1,2,1,3.75
528,681,1,2,2,1
530,683,1,2,1,1
530,683,1,2,2,1
533,687,1,2,1,1
533,687,1,2,2,1
534,688,1,2,1,2.5
534,688,1,2,2,1.25
535,690,1,1,1,4
535,690,1,1,2,4.75
537,692,1,2,1,3.25
537,692,1,2,2,3.25
538,693,1,1,1,2
538,693,1,1,2,2
540,697,1,2,1,2.5
540,697,1,2,2,2
541,699,1,1,1,3
541,699,1,1,2,3
543,703,1,1,1,2
543,703,1,1,2,2.5
544,706,1,2,1,3
544,706,1,2,2,3
545,721,1,2,1,1.25
545,721,1,2,2,7
547,734,1,1,1,2
547,734,1,1,2,6
550,745,1,1,1,3.25
550,745,1,1,2,4.5
552,754,1,2,1,3
552,754,1,2,2,2.25
553,755,1,1,1,1.25
553,755,1,1,2,4
555,762,1,1,1,5
555,762,1,1,2,3.25
556,766,1,2,1,2.75
556,766,1,2,2,2.25
557,770,1,2,1,3.75
557,770,1,2,2,3.75
560,774,1,1,1,4
560,774,1,1,2,4
561,775,1,2,1,2
561,775,1,2,2,2.5
563,781,1,1,1,4
563,781,1,1,2,3
564,782,1,1,1,2
564,782,1,1,2,4
568,796,1,1,1,4.5
568,796,1,1,2,4.25
569,798,1,2,1,6.25
569,798,1,2,2,6
570,802,1,2,1,2
570,802,1,2,2,3
571,817,1,2,1,3.5
571,817,1,2,2,2.75
573,826,1,2,1,4
573,826,1,2,2,3.25
574,828,1,1,1,4
574,828,1,1,2,3.5
576,837,1,2,1,2
576,837,1,2,2,2
577,842,1,2,1,2
577,842,1,2,2,4.5
579,849,1,2,1,3.5
579,849,1,2,2,4.5
